,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,publicationyear,age,agecategory,timeperiod
40746,PG46675_text.txt,"Oliver Twist; or, The Parish Boy's Progress. Illustrated","Dickens, Charles",1812.0,1870.0,['en'],702.0,"{'Bildungsromans', 'London (England) -- Fiction', 'Kidnapping victims -- Fiction', 'Criminals -- Fiction', 'Orphans -- Fiction', 'Boys -- Fiction'}",Text,2,1837,25.0,1
55051,PG624_text.txt,"Looking Backward, 2000 to 1887","Bellamy, Edward",1850.0,1898.0,['en'],695.0,"{'Two thousand, A.D. -- Fiction', 'Boston (Mass.) -- Fiction', 'Science fiction', 'Time travel -- Fiction', 'Utopian fiction', 'Social problems -- Fiction', 'Utopias -- Fiction'}",Text,5,1888,38.0,2
2377,PG1213_text.txt,The Man That Corrupted Hadleyburg,"Twain, Mark",1835.0,1910.0,['en'],685.0,"{'Humorous stories, American', 'United States -- Social life and customs -- 19th century -- Fiction'}",Text,5,1900,65.0,4
710,PG1063_text.txt,The Cask of Amontillado,"Poe, Edgar Allan",1809.0,1849.0,['en'],670.0,"{'Horror tales, American', 'Revenge -- Fiction'}",Text,3,1846,37.0,2
12787,PG2150_text.txt,The Works of Edgar Allan Poe — Volume 4,"Poe, Edgar Allan",1809.0,1849.0,['en'],651.0,"{'Horror tales, American', 'American fiction -- 19th century', 'Fantasy fiction', 'Short stories'}",Text,2,1829,20.0,0
24319,PG3188_text.txt,Mark Twain's Speeches,"Twain, Mark",1835.0,1910.0,['en'],645.0,"{'Speeches, addresses, etc., American'}",Text,5,1885,50.0,3
54896,PG610_text.txt,Idylls of the King,"Tennyson, Alfred Tennyson, Baron",1809.0,1892.0,['en'],634.0,"{'Knights and knighthood -- Poetry', 'Arthur, King -- Poetry', 'Arthurian romances -- Adaptations'}",Text,3,1850,41.0,2
39468,PG45524_text.txt,The Open Boat and Other Stories,"Crane, Stephen",1871.0,1900.0,['en'],625.0,"{'Short stories, American', 'United States -- Social life and customs -- 19th century -- Fiction'}",Text,5,1897,26.0,1
51884,PG5669_text.txt,Considerations on Representative Government,"Mill, John Stuart",1806.0,1873.0,['en'],622.0,{'Representative government and representation'},Text,4,1861,55.0,3
3920,PG13529_text.txt,"The Influence of Sea Power Upon History, 1660-1783","Mahan, A. T. (Alfred Thayer)",1840.0,1914.0,['en'],618.0,"{'Naval history, Modern', 'Sea-power'}",Text,5,1890,50.0,3
27742,PG34970_text.txt,Pierre; or The Ambiguities,"Melville, Herman",1819.0,1891.0,['en'],615.0,"{'Domestic fiction', 'Psychological fiction', 'Male authors -- Fiction', 'Men -- Fiction', 'Autobiographical fiction'}",Text,3,1852,33.0,1
18979,PG27083_text.txt,The Subjection of Women,"Mill, John Stuart",1806.0,1873.0,['en'],603.0,"{""Women's rights"", 'Women -- Social and moral questions'}",Text,4,1861,55.0,3
54475,PG59031_text.txt,"Journal 02, 1850-September 15, 1851: The Writings of Henry David Thoreau, Volume 08 (of 20)","Thoreau, Henry David",1817.0,1862.0,['en'],596.0,"{'Thoreau, Henry David, 1817-1862 -- Diaries', 'Authors, American -- 19th century -- Diaries'}",Text,4,1864,47.0,2
57240,PG821_text.txt,Dombey and Son,"Dickens, Charles",1812.0,1870.0,['en'],595.0,"{'Fathers and daughters -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Family-owned business enterprises -- Fiction', 'Businesspeople -- Fiction', 'Dysfunctional families -- Fiction'}",Text,3,1848,36.0,2
58872,PG968_text.txt,Martin Chuzzlewit,"Dickens, Charles",1812.0,1870.0,['en'],595.0,"{'Grandfathers -- Fiction', 'Bildungsromans', 'British -- United States -- Fiction', 'Black humor', 'England -- Fiction', 'Young men -- Fiction', 'United States -- Description and travel -- Fiction', 'Satire', 'Avarice -- Fiction', 'Adventure stories'}",Text,3,1842,30.0,1
577,PG1051_text.txt,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,"Carlyle, Thomas",1795.0,1881.0,['en'],591.0,"{'Germany -- Fiction', 'Clothing and dress -- Fiction', 'Satire', 'Philosophers -- Fiction', 'Conduct of life -- Fiction', 'Humorous stories', 'Didactic fiction'}",Text,2,1834,39.0,2
12775,PG2149_text.txt,The Works of Edgar Allan Poe — Volume 3,"Poe, Edgar Allan",1809.0,1849.0,['en'],586.0,"{'Horror tales, American', 'American fiction -- 19th century', 'Fantasy fiction'}",Text,2,1829,20.0,0
26050,PG33447_text.txt,The Pencil of Nature,"Talbot, William Henry Fox",1800.0,1877.0,['en'],585.0,{'Photography -- Early works to 1850'},Text,3,1846,46.0,2
6276,PG1564_text.txt,"Boswell's Life of Johnson: Abridged and edited, with an introduction by Charles Grosvenor Osgood","Boswell, James",1740.0,1795.0,['en'],574.0,"{'Authors, English -- 18th century -- Biography', 'Lexicographers -- Great Britain -- Biography', 'Johnson, Samuel, 1709-1784', 'Critics -- Great Britain -- Biography'}",Text,0,1763,23.0,0
51663,PG564_text.txt,The Mystery of Edwin Drood,"Dickens, Charles",1812.0,1870.0,['en'],573.0,"{'England -- Fiction', 'Missing persons -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Choral conductors -- Fiction', 'Mystery fiction', 'Separation (Psychology) -- Fiction', 'Psychological fiction', 'Cathedrals -- Fiction'}",Text,4,1870,58.0,3
43651,PG4928_text.txt,Bulfinch's Mythology,"Bulfinch, Thomas",1796.0,1867.0,['en'],563.0,"{'Charlemagne, Emperor, 742-814 -- Romances -- Adaptations', 'Mythology', 'Folklore -- Europe', 'Romances'}",Text,5,1881,85.0,4
13127,PG21816_text.txt,The Confidence-Man: His Masquerade,"Melville, Herman",1819.0,1891.0,['en'],550.0,"{'Satire', 'Swindlers and swindling -- Fiction', 'Steamboats -- Fiction', 'Mississippi River -- Fiction'}",Text,3,1857,38.0,2
